Simulacion Movimiento de partículas Gravitatorias. v 4.11 AVX 256
Partículas                   21960
Inicio al azar
Numero de hilos                 30
Paso de tiempo       1,0000000e+02 años
Muestra esférica
Radio de la esfera   2,5000000e+06   al
Velocidades Hubble   1,0000000e+02 factor
Distancia colision   5,0000000e+01   al
Radio de corte       2,1000000e+08   al
Radio vecinas        2,3000000e+08   al
Frecuencia vecinas           1.000 Hilo
Monitorizar cada             1.000 pasos
Tiempo a simular      100,00000000 millones de años (1.000.000 pasos)

                ener.cinetica ener.potencial  ENERGIA TOTAL ener.pot.resid           x al           y al           z al        vx al/s        vy al/s        vz al/s         v al/s
-------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- --------------
Partícula uno   8,2310502e-08 -1,7328710e-06 -1,6505605e-06  0,0000000e+00 -2,6832405e+05 -3,4469075e+05  1,7281730e+06 -6,0899631e-11 -7,8232046e-11  3,9223133e-10  4,0456697e-10
-------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- --------------

 millones años  ener.cinética ener.potencial  ENERGÍA TOTAL In.corte ener.pot.resid In.veci.   recorrido al desplazami. al      X c.m. al      Y c.m. al      Z c.m. al dist. media al desv.estand al  tpo cálculo s
-------------- -------------- -------------- -------------- -------- -------------- -------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- --------------
    5,20000000  1,5434991e-03 -1,7710462e-02 -1,6166963e-02 21959,00  0,0000000e+00 21959,00  6,0905536e+04  6,0904021e+04 -7,1284378e+03 -3,2048386e+02  1,1782351e+03  1,9435696e+06  4,9913742e+05  1,1589000e+04
    5,30000000  1,5334090e-03 -1,7700090e-02 -1,6166681e-02 21959,00  0,0000000e+00 21959,00  6,1971826e+04  6,1970215e+04 -7,1336624e+03 -3,2118854e+02  1,1788042e+03  1,9447071e+06  4,9942873e+05  1,1811000e+04
    5,40000000  1,5244682e-03 -1,7691228e-02 -1,6166760e-02 21959,00  0,0000000e+00 21959,00  6,3034246e+04  6,3032535e+04 -7,1388832e+03 -3,2185967e+02  1,1794300e+03  1,9458407e+06  4,9971907e+05  1,2035000e+04
    5,50000000  1,5139748e-03 -1,7680228e-02 -1,6166254e-02 21959,00  0,0000000e+00 21959,00  6,4092800e+04  6,4090985e+04 -7,1441633e+03 -3,2259197e+02  1,1800346e+03  1,9469704e+06  5,0000836e+05  1,2257000e+04
    5,60000000  1,5041791e-03 -1,7670204e-02 -1,6166025e-02 21959,00  0,0000000e+00 21959,00  6,5147495e+04  6,5145571e+04 -7,1494284e+03 -3,2348303e+02  1,1805739e+03  1,9480964e+06  5,0029670e+05  1,2480000e+04
    5,70000000  1,4944826e-03 -1,7660201e-02 -1,6165719e-02 21959,00  0,0000000e+00 21959,00  6,6198334e+04  6,6196296e+04 -7,1548155e+03 -3,2440992e+02  1,1809948e+03  1,9492186e+06  5,0058400e+05  1,2702000e+04
    5,80000000  1,4841844e-03 -1,7649656e-02 -1,6165471e-02 21959,00  0,0000000e+00 21959,00  6,7245323e+04  6,7243167e+04 -7,1601002e+03 -3,2525696e+02  1,1812977e+03  1,9503369e+06  5,0087042e+05  1,2926000e+04
    5,90000000  1,4740794e-03 -1,7639598e-02 -1,6165518e-02 21959,00  0,0000000e+00 21959,00  6,8288465e+04  6,8286186e+04 -7,1654275e+03 -3,2605181e+02  1,1815941e+03  1,9514514e+06  5,0115590e+05  1,3148000e+04
    6,00000000  1,4645474e-03 -1,7630389e-02 -1,6165842e-02 21959,00  0,0000000e+00 21959,00  6,9327766e+04  6,9325359e+04 -7,1708219e+03 -3,2679010e+02  1,1818800e+03  1,9525620e+06  5,0144037e+05  1,3371000e+04
    6,10000000  1,4545952e-03 -1,7620365e-02 -1,6165770e-02 21959,00  0,0000000e+00 21959,00  7,0363230e+04  7,0360689e+04 -7,1761732e+03 -3,2741124e+02  1,1822760e+03  1,9536687e+06  5,0172383e+05  1,3593000e+04
    6,20000000  1,4445969e-03 -1,7610441e-02 -1,6165844e-02 21959,00  0,0000000e+00 21959,00  7,1394862e+04  7,1392183e+04 -7,1814188e+03 -3,2807020e+02  1,1826365e+03  1,9547715e+06  5,0200626e+05  1,3817000e+04
    6,30000000  1,4356259e-03 -1,7600932e-02 -1,6165306e-02 21959,00  0,0000000e+00 21959,00  7,2422666e+04  7,2419843e+04 -7,1866335e+03 -3,2876067e+02  1,1829815e+03  1,9558705e+06  5,0228769e+05  1,4039000e+04
    6,40000000  1,4252319e-03 -1,7590566e-02 -1,6165334e-02 21959,00  0,0000000e+00 21959,00  7,3446647e+04  7,3443675e+04 -7,1917111e+03 -3,2953491e+02  1,1833029e+03  1,9569657e+06  5,0256816e+05  1,4262000e+04
    6,50000000  1,4196850e-03 -1,7584379e-02 -1,6164694e-02 21959,00  0,0000000e+00 21959,00  7,4466810e+04  7,4463683e+04 -7,1968106e+03 -3,3032375e+02  1,1836034e+03  1,9580570e+06  5,0284760e+05  1,4484000e+04
    6,60000000  1,4060540e-03 -1,7571254e-02 -1,6165200e-02 21959,00  0,0000000e+00 21959,00  7,5483159e+04  7,5479872e+04 -7,2019247e+03 -3,3115818e+02  1,1839634e+03  1,9591446e+06  5,0312606e+05  1,4707000e+04
    6,70000000  1,3981524e-03 -1,7563356e-02 -1,6165204e-02 21959,00  0,0000000e+00 21959,00  7,6495699e+04  7,6492244e+04 -7,2070136e+03 -3,3195242e+02  1,1843905e+03  1,9602282e+06  5,0340349e+05  1,4929000e+04
    6,80000000  1,3921656e-03 -1,7556864e-02 -1,6164699e-02 21959,00  0,0000000e+00 21959,00  7,7504434e+04  7,7500806e+04 -7,2120861e+03 -3,3268660e+02  1,1849082e+03  1,9613080e+06  5,0367987e+05  1,5153000e+04
    6,90000000  1,3801450e-03 -1,7545161e-02 -1,6165016e-02 21959,00  0,0000000e+00 21959,00  7,8509368e+04  7,8505562e+04 -7,2171252e+03 -3,3337568e+02  1,1852068e+03  1,9623840e+06  5,0395517e+05  1,5375000e+04
    7,00000000  1,3688545e-03 -1,7533587e-02 -1,6164732e-02 21959,00  0,0000000e+00 21959,00  7,9510506e+04  7,9506515e+04 -7,2222003e+03 -3,3403822e+02  1,1855016e+03  1,9634561e+06  5,0422952e+05  1,5598000e+04
    7,10000000  1,3594555e-03 -1,7524060e-02 -1,6164604e-02 21959,00  0,0000000e+00 21959,00  8,0507853e+04  8,0503670e+04 -7,2272329e+03 -3,3463264e+02  1,1857410e+03  1,9645245e+06  5,0450292e+05  1,5820000e+04
    7,20000000  1,3510281e-03 -1,7515748e-02 -1,6164720e-02 21959,00  0,0000000e+00 21959,00  8,1501413e+04  8,1497031e+04 -7,2322011e+03 -3,3521485e+02  1,1859217e+03  1,9655891e+06  5,0477543e+05  1,6044000e+04
    7,30000000  1,3416644e-03 -1,7506067e-02 -1,6164402e-02 21959,00  0,0000000e+00 21959,00  8,2491190e+04  8,2486602e+04 -7,2371654e+03 -3,3568218e+02  1,1859543e+03  1,9666498e+06  5,0504702e+05  1,6266000e+04
    7,40000000  1,3322954e-03 -1,7496156e-02 -1,6163861e-02 21959,00  0,0000000e+00 21959,00  8,3477189e+04  8,3472389e+04 -7,2422127e+03 -3,3624251e+02  1,1861622e+03  1,9677068e+06  5,0531776e+05  1,6489000e+04
    7,50000000  1,3247918e-03 -1,7488288e-02 -1,6163497e-02 21959,00  0,0000000e+00 21959,00  8,4459414e+04  8,4454394e+04 -7,2473147e+03 -3,3682095e+02  1,1864176e+03  1,9687601e+06  5,0558760e+05  1,6711000e+04
    7,60000000  1,3149204e-03 -1,7478175e-02 -1,6163255e-02 21959,00  0,0000000e+00 21959,00  8,5437869e+04  8,5432622e+04 -7,2523772e+03 -3,3742256e+02  1,1865738e+03  1,9698096e+06  5,0585653e+05  1,6935000e+04
    7,70000000  1,3063654e-03 -1,7469007e-02 -1,6162642e-02 21959,00  0,0000000e+00 21959,00  8,6412559e+04  8,6407078e+04 -7,2574476e+03 -3,3805338e+02  1,1868503e+03  1,9708553e+06  5,0612450e+05  1,7157000e+04
    7,80000000  1,2974746e-03 -1,7459894e-02 -1,6162420e-02 21959,00  0,0000000e+00 21959,00  8,7383488e+04  8,7377765e+04 -7,2625466e+03 -3,3855468e+02  1,1871625e+03  1,9718973e+06  5,0639151e+05  1,7380000e+04
    7,90000000  1,2893679e-03 -1,7451171e-02 -1,6161803e-02 21959,00  0,0000000e+00 21959,00  8,8350660e+04  8,8344687e+04 -7,2676586e+03 -3,3906455e+02  1,1874884e+03  1,9729357e+06  5,0665765e+05  1,7602000e+04
    8,00000000  1,2824321e-03 -1,7443329e-02 -1,6160897e-02 21959,00  0,0000000e+00 21959,00  8,9314080e+04  8,9307849e+04 -7,2726687e+03 -3,3949361e+02  1,1879276e+03  1,9739704e+06  5,0692301e+05  1,7826000e+04
    8,10000000  1,2740335e-03 -1,7434197e-02 -1,6160164e-02 21959,00  0,0000000e+00 21959,00  9,0273752e+04  9,0267254e+04 -7,2777041e+03 -3,3980935e+02  1,1885604e+03  1,9750015e+06  5,0718744e+05  1,8048000e+04
